"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 25, 2019","100.95","98.90","101.55","97.25","24.94K","1.82%"
"Sep 24, 2019","99.15","98.85","100.35","98.45","13.62K","0.15%"
"Sep 23, 2019","99.00","98.50","100.90","98.15","17.16K","0.61%"
"Sep 20, 2019","98.40","98.50","99.75","98.05","22.02K","0.05%"
"Sep 19, 2019","98.35","100.35","100.75","98.10","17.60K","-2.31%"
"Sep 18, 2019","100.68","100.83","101.83","100.13","-","0.08%"
"Sep 17, 2019","100.60","103.60","104.05","99.98","-","-3.11%"
"Sep 16, 2019","103.83","102.00","104.90","101.68","-","1.32%"
"Sep 13, 2019","102.48","103.23","103.60","102.08","-","-0.97%"
"Sep 12, 2019","103.48","102.68","103.85","101.18","-","3.33%"
"Sep 11, 2019","100.15","101.15","101.15","101.15","0.00K","-1.60%"
"Sep 10, 2019","101.78","98.68","102.25","98.03","-","3.02%"
"Sep 09, 2019","98.80","96.88","99.20","95.38","-","2.07%"
"Sep 06, 2019","96.80","95.18","97.35","95.03","-","1.81%"
"Sep 05, 2019","95.08","96.88","97.45","95.08","-","-1.59%"
"Sep 04, 2019","96.62","95.80","96.95","95.53","-","1.09%"
"Sep 03, 2019","95.58","95.23","96.60","94.23","-","2.12%"
"Aug 30, 2019","93.60","93.30","93.30","93.30","0.01K","1.85%"
"Aug 29, 2019","91.90","93.35","93.35","93.35","0.01K","-2.44%"
"Aug 28, 2019","94.20","93.00","93.90","92.85","0.01K","0.43%"
"Aug 27, 2019","93.80","93.85","93.85","93.40","0.01K","-0.37%"
"Aug 26, 2019","94.15","92.15","94.85","92.15","0.03K","1.67%"
"Aug 23, 2019","92.60","92.85","92.85","92.00","0.02K","-0.96%"
"Aug 22, 2019","93.50","93.15","93.60","92.25","0.11K","0.70%"
"Aug 21, 2019","92.85","91.65","93.85","91.65","16.53K","1.53%"
"Aug 20, 2019","91.45","91.35","91.80","89.60","12.09K","0.33%"
"Aug 19, 2019","91.15","92.80","93.65","91.05","8.23K","-1.83%"
"Aug 16, 2019","92.85","94.90","95.05","92.60","5.81K","-1.80%"
"Aug 15, 2019","94.55","94.40","95.70","94.15","11.80K","0.11%"
"Aug 14, 2019","94.45","95.85","96.40","94.00","17.29K","-1.97%"
"Aug 13, 2019","96.35","93.70","96.60","93.15","30.65K","2.77%"
"Aug 12, 2019","93.75","97.20","97.25","93.40","40.13K","-3.65%"
"Aug 09, 2019","97.30","97.20","98.10","96.65","31.11K","-0.10%"
"Aug 08, 2019","97.40","97.40","98.90","96.55","35.70K","0.52%"
"Aug 07, 2019","96.90","96.80","97.70","96.05","25.95K","-0.15%"
"Aug 06, 2019","97.05","95.75","97.75","95.20","26.45K","1.46%"
"Aug 05, 2019","95.65","98.30","98.70","94.30","24.43K","-2.55%"
"Aug 02, 2019","98.15","97.15","98.95","96.75","24.20K","0.93%"
"Aug 01, 2019","97.25","97.85","98.45","96.40","24.41K","-2.41%"
"Jul 31, 2019","99.65","99.10","100.45","98.10","24.47K","0.15%"
"Jul 30, 2019","99.50","101.05","101.15","98.80","19.26K","-1.63%"
"Jul 29, 2019","101.15","99.75","102.45","98.75","25.63K","1.40%"
"Jul 26, 2019","99.75","100.60","102.65","99.05","27.62K","-0.89%"
"Jul 25, 2019","100.65","101.35","101.65","100.30","20.32K","-0.35%"
"Jul 24, 2019","101.00","102.45","103.65","100.55","31.14K","-1.27%"
"Jul 23, 2019","102.30","105.15","105.60","102.15","26.11K","-2.66%"
"Jul 22, 2019","105.10","106.70","108.00","105.00","19.29K","-1.89%"
"Jul 19, 2019","107.12","108.68","109.88","107.03","-","-0.03%"
"Jul 18, 2019","107.15","105.30","105.30","105.30","0.00K","-0.21%"
"Jul 17, 2019","107.38","106.35","107.90","105.50","-","1.27%"
"Jul 16, 2019","106.03","110.18","110.18","105.45","-","-3.59%"
"Jul 15, 2019","109.98","106.55","110.65","104.53","-","3.19%"
"Jul 12, 2019","106.58","107.20","107.88","106.08","-","1.02%"
"Jul 11, 2019","105.50","106.05","106.05","106.05","0.00K","-0.50%"
"Jul 10, 2019","106.03","107.68","109.30","105.58","-","-1.82%"
"Jul 09, 2019","108.00","106.43","108.30","105.35","-","3.10%"
"Jul 08, 2019","104.75","113.05","113.05","105.50","0.03K","-4.29%"
"Jul 05, 2019","109.45","112.55","112.55","110.40","0.02K","-2.49%"
"Jul 03, 2019","112.25","110.10","112.15","108.30","0.01K","3.70%"
"Jul 02, 2019","108.25","110.35","110.35","108.60","0.09K","-1.72%"
"Jul 01, 2019","110.15","112.55","112.55","109.60","0.05K","1.76%"
"Jun 28, 2019","108.25","106.90","109.00","106.35","0.05K","2.56%"
"Jun 27, 2019","105.55","105.20","105.80","105.00","0.02K","0.62%"
"Jun 26, 2019","104.90","104.70","107.15","104.45","0.05K","-1.46%"
"Jun 25, 2019","106.45","103.00","105.35","103.00","0.09K","4.36%"
"Jun 24, 2019","102.00","99.30","102.40","99.00","0.22K","2.20%"
"Jun 21, 2019","99.80","102.05","102.05","99.40","0.28K","-1.24%"
"Jun 20, 2019","101.05","98.00","101.10","98.00","1.25K","4.99%"
"Jun 19, 2019","96.25","94.45","97.45","94.35","9.59K","2.07%"
"Jun 18, 2019","94.30","95.85","96.00","94.00","9.77K","-1.82%"
"Jun 17, 2019","96.05","95.80","96.80","94.85","15.75K","0.05%"
"Jun 14, 2019","96.00","97.40","98.00","95.85","27.58K","-1.39%"
"Jun 13, 2019","97.35","99.10","99.70","97.30","28.59K","-1.72%"
"Jun 12, 2019","99.05","97.15","99.20","96.75","31.37K","2.11%"
"Jun 11, 2019","97.00","98.10","100.45","96.85","39.47K","-1.62%"
"Jun 10, 2019","98.60","100.15","100.75","98.00","46.33K","-2.33%"
"Jun 07, 2019","100.95","102.05","103.30","100.05","35.11K","-1.08%"
"Jun 06, 2019","102.05","99.00","102.55","98.60","36.39K","2.98%"
"Jun 05, 2019","99.10","105.35","105.60","97.90","60.42K","-6.20%"
"Jun 04, 2019","105.65","103.25","106.15","102.70","43.49K","1.83%"
"Jun 03, 2019","103.75","104.85","105.65","103.00","54.97K","-0.81%"
"May 31, 2019","104.60","102.10","105.30","99.05","47.25K","2.20%"
