"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 27, 2000","78.95","81.25","81.85","78.20","7.09K","-3.43%"
"Sep 26, 2000","81.75","79.50","82.20","79.50","6.52K","3.42%"
"Sep 25, 2000","79.05","78.25","79.10","78.20","1.92K","1.35%"
"Sep 22, 2000","78.00","78.25","78.95","77.40","3.61K","0.26%"
"Sep 21, 2000","77.80","78.30","79.15","77.60","4.58K","-1.71%"
"Sep 20, 2000","79.15","80.25","81.25","78.00","7.98K","2.53%"
"Sep 19, 2000","77.20","76.50","77.00","77.00","-","-0.26%"
"Sep 18, 2000","77.40","75.00","77.50","77.00","0.01K","1.51%"
"Sep 15, 2000","76.25","76.25","77.75","76.00","0.05K","-1.23%"
"Sep 14, 2000","77.20","79.00","78.00","76.50","0.01K","-2.95%"
"Sep 13, 2000","79.55","77.00","80.00","79.00","0.04K","1.14%"
"Sep 12, 2000","78.65","78.50","78.50","78.00","0.02K","1.16%"
"Sep 11, 2000","77.75","76.75","78.00","76.50","0.02K","0.45%"
"Sep 08, 2000","77.40","78.00","78.00","76.60","0.04K","-0.77%"
"Sep 07, 2000","78.00","75.50","78.00","76.50","0.07K","3.65%"
"Sep 06, 2000","75.25","73.10","75.25","74.50","0.05K","2.94%"
"Sep 05, 2000","73.10","74.00","73.70","72.20","0.31K","-2.53%"
"Sep 01, 2000","75.00","75.50","77.00","75.00","0.11K","0.67%"
"Aug 31, 2000","74.50","73.50","75.20","73.50","0.13K","0.81%"
"Aug 30, 2000","73.90","74.00","74.75","73.60","0.19K","-1.07%"
"Aug 29, 2000","74.70","75.25","75.70","74.40","0.33K","-0.66%"
"Aug 28, 2000","75.20","78.00","78.00","74.50","0.28K","-3.28%"
"Aug 25, 2000","77.75","78.00","78.25","77.40","0.35K","-0.06%"
"Aug 24, 2000","77.80","75.00","78.50","75.00","0.71K","4.29%"
"Aug 23, 2000","74.60","76.75","77.40","74.50","2.31K","-3.24%"
"Aug 22, 2000","77.10","76.25","77.80","76.25","6.55K","-0.52%"
"Aug 21, 2000","77.50","77.25","78.50","77.10","5.70K","-1.15%"
"Aug 18, 2000","78.40","78.75","78.90","77.50","3.28K","-0.19%"
"Aug 17, 2000","78.55","78.30","79.15","77.40","4.94K","0.32%"
"Aug 16, 2000","78.30","75.60","78.50","75.60","5.05K","-0.38%"
"Aug 15, 2000","78.60","78.35","79.10","77.75","3.72K","-0.25%"
"Aug 14, 2000","78.80","79.75","80.00","76.50","6.72K","-2.29%"
"Aug 11, 2000","80.65","79.60","81.00","79.60","3.63K","1.32%"
"Aug 10, 2000","79.60","79.50","81.20","78.45","5.81K","0.13%"
"Aug 09, 2000","79.50","82.90","83.50","79.30","8.56K","-5.02%"
"Aug 08, 2000","83.70","85.50","86.00","83.40","4.50K","-1.99%"
"Aug 07, 2000","85.40","85.50","86.00","84.80","2.53K","-0.23%"
"Aug 04, 2000","85.60","85.85","86.25","85.00","2.52K","-0.29%"
"Aug 03, 2000","85.85","86.50","87.50","85.00","2.66K","-0.69%"
"Aug 02, 2000","86.45","86.80","87.50","86.00","2.63K","0.17%"
"Aug 01, 2000","86.30","86.50","87.75","86.10","2.74K","-0.17%"
"Jul 31, 2000","86.45","85.75","87.00","84.10","3.99K","-1.09%"
"Jul 28, 2000","87.40","86.75","88.10","86.75","2.48K","1.51%"
"Jul 27, 2000","86.10","86.60","88.75","86.00","3.89K","-0.98%"
"Jul 26, 2000","86.95","85.00","87.50","85.00","3.20K","2.05%"
"Jul 25, 2000","85.20","85.50","87.25","85.00","4.75K","-1.27%"
"Jul 24, 2000","86.30","87.00","89.00","84.40","10.79K","-10.71%"
"Jul 21, 2000","96.65","99.50","103.25","96.25","7.27K","-1.13%"
"Jul 20, 2000","97.75","100.00","104.00","95.35","10.47K","-12.06%"
